id,name,localId,category,rarity,set_id,set_name,set_series,artist,illustrator,hp,types,stage,attack_count,attacks_json,weaknesses_json,resistances_json,retreat,regulation_mark,image_small,image_high,variants_json,cardmarket_url,cardmarket_updated_at,cardmarket_avg1,cardmarket_avg7,cardmarket_avg30,cardmarket_low_price,cardmarket_trend,cardmarket_reverse_holo_sell,cardmarket_reverse_holo_low,cardmarket_reverse_holo_trend,tcgplayer_updated_at,tcgplayer_prices_json,cardmarket_updated_at,cardmarket_avg,cardmarket_low,cardmarket_trend,cardmarket_avg1,cardmarket_avg7,cardmarket_avg30,cardmarket_avg_holo,cardmarket_low_holo,cardmarket_trend_holo,normal_market,reverse_market,holo_market,raw_estimate,ace8_estimate,ace9_estimate,ace10_estimate
swsh2-1,Caterpie,1,Pokemon,Common,swsh2,Rebel Clash,,,Uta,50,Grass,Basic,1,"[{""cost"": [""Colorless""], ""name"": ""Gnaw"", ""damage"": 10}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],1,D,https://assets.tcgdex.net/en/swsh/swsh2/1/low.png,https://assets.tcgdex.net/en/swsh/swsh2/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": true, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.05,0.08,0.08,0.02,0.12,,,,,{},2026-05-30T00:47:09.000Z,0.09,0.02,0.12,0.05,0.08,0.08,0.31,0.04,0.31,,,,0.08,,,
swsh11-001,Oddish,1,Pokemon,Common,swsh11,Lost Origin,,,,50,Grass,Basic,1,"[{""cost"": [""Grass"", ""Colorless""], ""name"": ""Ram"", ""damage"": 30}]",[],[],1,F,https://assets.tcgdex.net/en/swsh/swsh11/001/low.png,https://assets.tcgdex.net/en/swsh/swsh11/001/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": true, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.03,0.02,0.03,0.02,0.03,,,,,{},2026-05-30T00:47:09.000Z,0.03,0.02,0.03,0.03,0.02,0.03,0.22,0.02,0.17,,,,0.03,,,
swsh4-1,Weedle,1,Pokemon,Common,swsh4,Vivid Voltage,,,sui,40,Grass,Basic,1,"[{""cost"": [""Grass""], ""name"": ""Bug Hunch"", ""effect"": ""Search your deck for up to 2 Grass Pok\u00e9mon, reveal them, and put them into your hand. Then, shuffle your deck.""}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],1,D,https://assets.tcgdex.net/en/swsh/swsh4/1/low.png,https://assets.tcgdex.net/en/swsh/swsh4/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": true, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.02,0.04,0.05,0.02,0.04,,,,,{},2026-05-30T00:47:09.000Z,0.05,0.02,0.04,0.02,0.04,0.05,0.21,0.02,0.23,,,,0.05,,,
swsh12-001,Venonat,1,Pokemon,Common,swsh12,Silver Tempest,,,,60,Grass,Basic,1,"[{""cost"": [""Grass""], ""name"": ""Tackle"", ""damage"": 20}]",[],[],1,F,https://assets.tcgdex.net/en/swsh/swsh12/001/low.png,https://assets.tcgdex.net/en/swsh/swsh12/001/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": true, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.04,0.03,0.03,0.02,0.04,,,,,{},2026-05-30T00:47:09.000Z,0.04,0.02,0.04,0.04,0.03,0.03,0.16,0.02,0.2,,,,0.03,,,
sm9-1,Celebi & Venusaur GX,1,Pokemon,Ultra Rare,sm9,Team Up,,,Mitsuhiro Arita,270,Grass,,3,"[{""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""name"": ""Pollen Hazard"", ""effect"": ""Your opponent\u2019s Active Pok\u00e9mon is now Burned, Confused, and Poisoned."", ""damage"": 50}, {""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""name"": ""Solar Beam"", ""damage"": 150}, {""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""name"": ""Evergreen GX"", ""effect"": ""Heal all damage from this Pok\u00e9mon. If this Pok\u00e9mon has at least 1 extra Grass Energy attached to it (in addition to this attack\u2019s cost), shuffle all cards from your discard pile into your deck. (You can\u2019t use more than 1 GX attack in a game.)"", ""damage"": 180}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],4,,https://assets.tcgdex.net/en/sm/sm9/1/low.png,https://assets.tcgdex.net/en/sm/sm9/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,27.5,31.52,32.01,6.99,41.03,,,,,{},2026-05-30T00:47:09.000Z,33.54,6.99,41.03,27.5,31.52,32.01,,,5.88,,,,32.01,,,126.11
sm5-1,Exeggcute,1,Pokemon,Common,sm5,Ultra Prism,,,kawayoo,50,Grass,Basic,1,"[{""cost"": [""Grass""], ""name"": ""Continuous Eggsplosion"", ""effect"": ""Flip a coin until you get tails. This attack does 20 damage for each heads."", ""damage"": ""20\u00d7""}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],1,,https://assets.tcgdex.net/en/sm/sm5/1/low.png,https://assets.tcgdex.net/en/sm/sm5/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.15,0.09,0.08,0.02,0.11,,,,,{},2026-05-30T00:47:09.000Z,0.07,0.02,0.11,0.15,0.09,0.08,0.52,0.04,0.41,,,,0.08,,,
sm3.5-1,Bulbasaur,1,Pokemon,Common,sm3.5,Shining Legends,,,Mizue,70,Grass,Basic,1,"[{""cost"": [""Grass"", ""Colorless""], ""name"": ""Razor Leaf"", ""damage"": 30}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],2,,,,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.19,0.17,0.19,0.02,0.11,,,,,{},2026-05-30T00:47:09.000Z,0.2,0.02,0.11,0.19,0.17,0.19,1.75,0.05,2.04,,,,0.19,,,
sm10-1,Pheromosa & Buzzwole GX,1,Pokemon,Ultra Rare,sm10,Unbroken Bonds,,,Mitsuhiro Arita,260,Grass,,4,"[{""cost"": [""Grass""], ""name"": ""Jet Punch"", ""effect"": ""This attack does 30 damage to 1 of your opponent\u2019s Benched Pok\u00e9mon. (Don\u2019t apply Weakness and Resistance for Benched Pok\u00e9mon.)"", ""damage"": 30}, {""cost"": [""Grass"", ""Grass"", ""Colorless""], ""name"": ""Elegant Sole"", ""effect"": ""During your next turn, this Pok\u00e9mon\u2019s Elegant Sole attack\u2019s base damage is 60."", ""damage"": 190}, {""cost"": [""Grass""], ""name"": ""Beast Game GX"", ""effect"": ""If your opponent\u2019s Pok\u00e9mon is Knocked Out by damage from this attack, take 1 more Prize card. If this Pok\u00e9mon has at least 7 extra Energy attached to it (in addition to this attack\u2019s cost), take 3 more Prize cards instead. (You can\u2019t use more than 1 GX attack in a game.)"", ""damage"": 50}, {""cost"": [""Grass""], ""damage"": 50}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],2,,https://assets.tcgdex.net/en/sm/sm10/1/low.png,https://assets.tcgdex.net/en/sm/sm10/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,11.44,11.96,8.67,1.33,10.59,,,,,{},2026-05-30T00:47:09.000Z,6.62,1.33,10.59,11.44,11.96,8.67,,,4.63,,,,8.67,,,
sm12-1,Venusaur & Snivy GX,1,Pokemon,Ultra Rare,sm12,Cosmic Eclipse,,,Mitsuhiro Arita,270,Grass,,2,"[{""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""name"": ""Forest Dump"", ""damage"": 160}, {""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""name"": ""Solar Plant GX"", ""effect"": ""This attack does 50 damage to each of your opponent\u2019s Pok\u00e9mon. If this Pok\u00e9mon has at least 2 extra Energy attached to it (in addition to this attack\u2019s cost), heal all damage from all of your Pok\u00e9mon. (Don\u2019t apply Weakness and Resistance for Benched Pok\u00e9mon.) (You can\u2019t use more than 1 GX attack in a game.)""}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],3,,https://assets.tcgdex.net/en/sm/sm12/1/low.png,https://assets.tcgdex.net/en/sm/sm12/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,11,19.2,16.84,3.89,19.71,,,,,{},2026-05-30T00:47:09.000Z,17.43,3.89,19.71,11,19.2,16.84,,,4.68,,,,16.84,,,82.16
sm4-1,Weedle,1,Pokemon,Common,sm4,Crimson Invasion,,,Yukiko Baba,50,Grass,Basic,1,"[{""cost"": [""Grass""], ""name"": ""Poison Sting"", ""effect"": ""Your opponent\u2019s Active Pok\u00e9mon is now Poisoned.""}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],1,,https://assets.tcgdex.net/en/sm/sm4/1/low.png,https://assets.tcgdex.net/en/sm/sm4/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.09,0.08,0.06,0.02,0.13,,,,,{},2026-05-30T00:47:09.000Z,0.06,0.02,0.13,0.09,0.08,0.06,0.43,0.02,0.25,,,,0.06,,,
sm1-1,Caterpie,1,Pokemon,Common,sm1,Sun & Moon,,,Kanako Eo,50,Grass,Basic,2,"[{""cost"": [""Colorless""], ""name"": ""Nap"", ""effect"": ""Heal 20 damage from this Pok\u00e9mon.""}, {""cost"": [""Colorless"", ""Colorless""], ""name"": ""Gnaw"", ""damage"": 20}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],1,,https://assets.tcgdex.net/en/sm/sm1/1/low.png,https://assets.tcgdex.net/en/sm/sm1/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.02,0.11,0.1,0.02,0.11,,,,,{},2026-05-30T00:47:09.000Z,0.09,0.02,0.11,0.02,0.11,0.1,0.36,0.02,0.42,,,,0.1,35.95,58.94,
sm115-1,Caterpie,1,Pokemon,Common,sm115,Hidden Fates,,,tetsuya koizumi,60,Grass,Basic,1,"[{""cost"": [""Grass""], ""name"": ""Tackle"", ""damage"": 10}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],1,,https://assets.tcgdex.net/en/sm/sm115/1/low.png,https://assets.tcgdex.net/en/sm/sm115/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.05,0.08,0.07,0.02,0.08,,,,,{},2026-05-30T00:47:09.000Z,0.07,0.02,0.08,0.05,0.08,0.07,0.37,0.08,0.36,,,,0.07,,,
det1-1,Bulbasaur,1,Pokemon,Common,det1,Detective Pikachu,,,MPC Film,60,Grass,Basic,1,"[{""cost"": [""Grass""], ""name"": ""Find a Friend"", ""effect"": ""Search your deck for a Grass Pok\u00e9mon, reveal it, and put it into your hand. Then, shuffle your deck.""}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],1,,https://assets.tcgdex.net/en/sm/det1/1/low.png,https://assets.tcgdex.net/en/sm/det1/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.1,0.72,0.73,0.02,0.76,,,,,{},2026-05-30T00:47:09.000Z,0.74,0.02,0.76,0.1,0.72,0.73,1.3,0.03,1.22,,,,0.73,,18.99,
sm6-1,Exeggcute,1,Pokemon,Common,sm6,Forbidden Light,,,Yuka Morii,40,Grass,Basic,1,"[{""cost"": [""Colorless""], ""name"": ""Multiply"", ""effect"": ""Search your deck for Exeggcute and put it onto your Bench. Then, shuffle your deck.""}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],1,,https://assets.tcgdex.net/en/sm/sm6/1/low.png,https://assets.tcgdex.net/en/sm/sm6/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.62,0.27,0.15,0.02,0.25,,,,,{},2026-05-30T00:47:09.000Z,0.12,0.02,0.25,0.62,0.27,0.15,0.34,0.02,0.32,,,,0.15,,,
sm8-1,Tangela,1,Pokemon,Common,sm8,Lost Thunder,,,Ken Sugimori,80,Grass,Basic,2,"[{""cost"": [""Colorless"", ""Colorless""], ""name"": ""Gentle Slap"", ""damage"": 20}, {""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""name"": ""Bind"", ""effect"": ""Flip a coin. If heads, your opponent\u2019s Active Pok\u00e9mon is now Paralyzed."", ""damage"": 40}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],2,,https://assets.tcgdex.net/en/sm/sm8/1/low.png,https://assets.tcgdex.net/en/sm/sm8/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.15,0.12,0.13,0.02,0.11,,,,,{},2026-05-30T00:47:09.000Z,0.14,0.02,0.11,0.15,0.12,0.13,0.59,0.15,0.55,,,,0.13,,,
sm2-1,Bellsprout,1,Pokemon,Common,sm2,Guardians Rising,,,Aya Kusube,60,Grass,Basic,1,"[{""cost"": [""Grass"", ""Colorless""], ""name"": ""Vine Whip"", ""damage"": 30}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],1,,https://assets.tcgdex.net/en/sm/sm2/1/low.png,https://assets.tcgdex.net/en/sm/sm2/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.19,0.06,0.07,0.02,0.08,,,,,{},2026-05-30T00:47:09.000Z,0.08,0.02,0.08,0.19,0.06,0.07,0.34,0.06,0.39,,,,0.07,,,
sm7-1,Bellsprout,1,Pokemon,Common,sm7,Celestial Storm,,,Masako Yamashita,60,Grass,Basic,1,"[{""cost"": [""Grass"", ""Colorless""], ""name"": ""Blot"", ""effect"": ""Heal 10 damage from this Pok\u00e9mon."", ""damage"": 20}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],1,,https://assets.tcgdex.net/en/sm/sm7/1/low.png,https://assets.tcgdex.net/en/sm/sm7/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.19,0.09,0.12,0.02,0.11,,,,,{},2026-05-30T00:47:09.000Z,0.12,0.02,0.11,0.19,0.09,0.12,0.92,0.2,0.72,,,,0.12,,,
sm7.5-1,Charmander,1,Pokemon,Common,sm7.5,Dragon Majesty,,,tetsuya koizumi,70,Fire,Basic,1,"[{""cost"": [""Fire"", ""Colorless""], ""name"": ""Fire Fang"", ""effect"": ""Your opponent\u2019s Active Pok\u00e9mon is now Burned."", ""damage"": 20}]","[{""type"": ""Water"", ""value"": ""\u00d72""}]",[],2,,,,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,1,3.31,2.71,0.5,2.5,,,,,{},2026-05-30T00:47:09.000Z,3.13,0.5,2.5,1,3.31,2.71,18.35,6.78,15.21,,,,2.71,,,
sm3-1,Caterpie,1,Pokemon,Common,sm3,Burning Shadows,,,Sekio,50,Grass,Basic,1,"[{""cost"": [""Grass""], ""name"": ""Surprise Attack"", ""effect"": ""Flip a coin. If tails, this attack does nothing."", ""damage"": 20}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],1,,https://assets.tcgdex.net/en/sm/sm3/1/low.png,https://assets.tcgdex.net/en/sm/sm3/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.02,0.04,0.08,0.02,0.04,,,,,{},2026-05-30T00:47:09.000Z,0.11,0.02,0.04,0.02,0.04,0.08,0.37,0.1,0.42,,,,0.08,,,
sm11-1,Rowlet & Alolan Exeggutor GX,1,Pokemon,Ultra Rare,sm11,Unified Minds,,,Mitsuhiro Arita,270,Grass,,3,"[{""name"": ""Super Growth"", ""effect"": ""Search your deck for a card that evolves from 1 of your Grass Pok\u00e9mon and put it onto that Pok\u00e9mon to evolve it. If that Pok\u00e9mon is now a Stage 1 Pok\u00e9mon, search your deck for a Stage 2 Pok\u00e9mon that evolves from that Pok\u00e9mon and put it onto that Pok\u00e9mon to evolve it. Then, shuffle your deck.""}, {""cost"": [""Grass"", ""Grass"", ""Colorless""], ""name"": ""Calming Hurricane"", ""effect"": ""Heal 30 damage from this Pok\u00e9mon."", ""damage"": 150}, {""cost"": [""Grass"", ""Grass"", ""Grass""], ""name"": ""Tropical Hour GX"", ""effect"": ""If this Pok\u00e9mon has at least 3 extra Energy attached to it (in addition to this attack\u2019s cost), your opponent shuffles all Energy from all of their Pok\u00e9mon into their deck. (You can\u2019t use more than 1 GX attack in a game.)"", ""damage"": 200}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],3,,https://assets.tcgdex.net/en/sm/sm11/1/low.png,https://assets.tcgdex.net/en/sm/sm11/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,7.99,14.61,10.63,1.99,15.22,,,,,{},2026-05-30T00:47:09.000Z,10.46,1.99,15.22,7.99,14.61,10.63,,,4.65,,,,10.63,,20.0,
sv10-001,Ethan's Pinsir,1,Pokemon,Uncommon,sv10,Destined Rivals,,,GIDORA,120,Grass,Basic,2,"[{""cost"": [""Grass""], ""name"": ""Vise Grip"", ""damage"": 20}, {""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""name"": ""Rallying Horn"", ""effect"": ""If any of your Ethan's Pok\u00e9mon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 100 more damage."", ""damage"": ""70+""}]",[],[],2,I,https://assets.tcgdex.net/en/sv/sv10/001/low.png,https://assets.tcgdex.net/en/sv/sv10/001/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": true, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.03,0.03,0.03,0.02,0.03,,,,,{},2026-05-30T00:47:09.000Z,0.03,0.02,0.03,0.03,0.03,0.03,0.17,0.02,0.16,,,,0.03,,,
